Rejected Jobs:,385
Average Hole:,30.47619
Total Fragmented Bytes:,500
Storage Utilization:,52.77778
,
Current VTU:,3938
Complete Jobs:,122
Rejected Jobs:,385
Average Hole:,33.333332
Total Fragmented Bytes:,500
Storage Utilization:,43.88889
,
Current VTU:,4003
Complete Jobs:,124
Rejected Jobs:,385
Average Hole:,35.76923
Total Fragmented Bytes:,500
Storage Utilization:,36.666668
,
Current VTU:,4108
Complete Jobs:,126
Rejected Jobs:,385
Average Hole:,37.857143
Total Fragmented Bytes:,500
Storage Utilization:,29.444445
,
Current VTU:,4223
Complete Jobs:,129
Rejected Jobs:,385
Average Hole:,39.032257
Total Fragmented Bytes:,500
Storage Utilization:,21.11111
,
Current VTU:,4333
Complete Jobs:,132
Rejected Jobs:,399
Average Hole:,34.074074
Total Fragmented Bytes:,520
Storage Utilization:,35.555557
,
Current VTU:,4428
Complete Jobs:,137
Rejected Jobs:,457
Average Hole:,29.130434
Total Fragmented Bytes:,520
Storage Utilization:,48.333332
,
Current VTU:,4503
Complete Jobs:,140
Rejected Jobs:,457
Average Hole:,31.538462
Total Fragmented Bytes:,520
Storage Utilization:,40
,
Current VTU:,4603
Complete Jobs:,144
Rejected Jobs:,475
Average Hole:,32.857143
Total Fragmented Bytes:,520
Storage Utilization:,33.88889
,
Current VTU:,4733
Complete Jobs:,147
Rejected Jobs:,481
Average Hole:,33.793102
Total Fragmented Bytes:,520
Storage Utilization:,30
,
Current VTU:,4828
Complete Jobs:,150
Rejected Jobs:,481
Average Hole:,35.625
Total Fragmented Bytes:,520
Storage Utilization:,21.11111
,
Current VTU:,4903
Complete Jobs:,153
Rejected Jobs:,487
Average Hole:,36.764706
Total Fragmented Bytes:,520
Storage Utilization:,15
