Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,3801
Complete Jobs:,89
Rejected Jobs:,592
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,3903
Complete Jobs:,89
Rejected Jobs:,607
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,4022
Complete Jobs:,91
Rejected Jobs:,619
Average Hole:,41.57895
Total Fragmented Bytes:,330.0
Storage Utilization:,2.7777777

Current VTU:,4119
Complete Jobs:,92
Rejected Jobs:,630
Average Hole:,41.57895
Total Fragmented Bytes:,330.0
Storage Utilization:,2.7777777

Current VTU:,4205
Complete Jobs:,92
Rejected Jobs:,654
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,4301
Complete Jobs:,93
Rejected Jobs:,672
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,4406
Complete Jobs:,95
Rejected Jobs:,686
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,4501
Complete Jobs:,95
Rejected Jobs:,703
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,4605
Complete Jobs:,95
Rejected Jobs:,722
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,4703
Complete Jobs:,95
Rejected Jobs:,741
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0

Current VTU:,4819
Complete Jobs:,96
Rejected Jobs:,754
Average Hole:,41.57895
Total Fragmented Bytes:,330.0
Storage Utilization:,2.7777777

Current VTU:,4908
Complete Jobs:,96
Rejected Jobs:,778
Average Hole:,41.794872
Total Fragmented Bytes:,330.0
Storage Utilization:,0.0
