Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3803
Complete Jobs:,85
Rejected Jobs:,608
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3908
Complete Jobs:,85
Rejected Jobs:,630
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4037
Complete Jobs:,88
Rejected Jobs:,644
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,4102
Complete Jobs:,88
Rejected Jobs:,665
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4201
Complete Jobs:,88
Rejected Jobs:,684
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4316
Complete Jobs:,89
Rejected Jobs:,703
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,4406
Complete Jobs:,90
Rejected Jobs:,721
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,4502
Complete Jobs:,90
Rejected Jobs:,743
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4601
Complete Jobs:,91
Rejected Jobs:,758
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4702
Complete Jobs:,92
Rejected Jobs:,778
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4802
Complete Jobs:,92
Rejected Jobs:,793
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4903
Complete Jobs:,94
Rejected Jobs:,805
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777
