Total Fragmented Bytes:,500.0
Storage Utilization:,17.222221

Current VTU:,3823
Complete Jobs:,116
Rejected Jobs:,559
Average Hole:,38.37838
Total Fragmented Bytes:,500.0
Storage Utilization:,12.777778

Current VTU:,3908
Complete Jobs:,119
Rejected Jobs:,574
Average Hole:,39.74359
Total Fragmented Bytes:,500.0
Storage Utilization:,5.5555553

Current VTU:,4032
Complete Jobs:,125
Rejected Jobs:,594
Average Hole:,39.5
Total Fragmented Bytes:,500.0
Storage Utilization:,3.8888888

Current VTU:,4102
Complete Jobs:,125
Rejected Jobs:,617
Average Hole:,40.243904
Total Fragmented Bytes:,500.0
Storage Utilization:,0.0

Current VTU:,4202
Complete Jobs:,126
Rejected Jobs:,633
Average Hole:,40.243904
Total Fragmented Bytes:,500.0
Storage Utilization:,0.0

Current VTU:,4328
Complete Jobs:,129
Rejected Jobs:,646
Average Hole:,39.75
Total Fragmented Bytes:,500.0
Storage Utilization:,3.3333333

Current VTU:,4401
Complete Jobs:,130
Rejected Jobs:,656
Average Hole:,39.75
Total Fragmented Bytes:,500.0
Storage Utilization:,3.3333333

Current VTU:,4503
Complete Jobs:,131
Rejected Jobs:,677
Average Hole:,39.75
Total Fragmented Bytes:,500.0
Storage Utilization:,3.3333333

Current VTU:,4636
Complete Jobs:,133
Rejected Jobs:,699
Average Hole:,39.5
Total Fragmented Bytes:,500.0
Storage Utilization:,3.8888888

Current VTU:,4715
Complete Jobs:,135
Rejected Jobs:,712
Average Hole:,39.5
Total Fragmented Bytes:,500.0
Storage Utilization:,3.8888888

Current VTU:,4808
Complete Jobs:,136
Rejected Jobs:,733
Average Hole:,40.243904
Total Fragmented Bytes:,500.0
Storage Utilization:,0.0

Current VTU:,4906
Complete Jobs:,138
Rejected Jobs:,743
Average Hole:,39.75
Total Fragmented Bytes:,500.0
Storage Utilization:,3.3333333
